AutoML,Tools,function_calls,Label
optuna/optuna,Optuna,34916,Top10
hyperopt/hyperopt,Hyperopt,20903,Top10
scikit-optimize/scikit-optimize,Skopt,20313,Top10
Featuretools/featuretools,featuretools,14786,Top10
EpistasisLab/tpot,Tpot,13725,Top10
fmfn/BayesianOptimization,Bayes_opt,11582,Top10
keras-team/autokeras,Autokeras,10331,Top10
automl/auto-sklearn,Autosklearn,8909,Top10
facebook/Ax,Ax,8442,Top10
snorkel-team/snorkel,Snorkel,8237,Top10
dragonfly/dragonfly,Dragonfly,7155,Others
pycaret/pycaret,Pycaret,6630,Others
awslabs/autogluon,Autogluon,6603,Others
microsoft/nni,nni,6296,Others
keras-team/keras-tuner,Keras-tuner,4840,Others
learnables/learn2learn,Learn2learn,4790,Others
alteryx/evalml,Evalml,4592,Others
nccr-itmo/FEDOT,FEDOT,4482,Others
DataCanvasIO/Hypernets,Hypernets,2875,Others
Yelp/MOE,MOE,2385,Others
automl/Auto-PyTorch,Auto-PyTorch,1860,Others
mit-han-lab/once-for-all,Once-for-all,1807,Others
automl/NASLib,NASLib,1621,Others
tristandeleu/pytorch-meta,Pytorch-meta,1616,Others
tensorflow/adanet,Adanet,1199,Others
hyperopt/hyperopt-sklearn,Hyperoptsklearn,1114,Others
HunterMcGushion/hyperparameter_hunter,Hyperparam_hunter,905,Others
walkerning/aw_nas,Aw_nas,700,Others
salesforce/Merlion,Merlion,698,Others
determined-ai/determined,Determined,580,Others
microsoft/FLAML,FLAML,570,Others
AxeldeRomblay/MLBox,MLBox,521,Others
D-X-Y/AutoDL-Projects,AutoDL,511,Others
microsoft/archai,Archai,442,Others
mindsdb/mindsdb,Mindsdb,437,Others
claesenm/optunity,Optunity,410,Others
lucfra/FAR-HO,FAR-HO,296,Others
automl/HPOlib2,HPOlib2,272,Others
udellgroup/oboe,Oboe,138,Others
gdikov/hypertunity,Hypertunity,135,Others
LGE-ARC-AdvancedAI/auptimizer,Auptimizer,120,Others
microsoft/forecasting,Forecasting,102,Others
joeddav/devol,Devol,73,Others
SkBlaz/autobot,Autobot,67,Others
blobcity/autoai,Autoai,56,Others
THUMNLab/AutoGL,AutoGL,54,Others
nidhaloff/igel,Igel,53,Others
run-ai/runai,Runai,41,Others
uber/ludwig,Ludwig,25,Top10
mljar/mljar-supervised,Mljar,19,Others
google/automl,Automl,13,Others
Palashio/libra,Libra,0,Others
automl/SMAC3,SMAC3,0,Others
HDI-Project/ATM,ATM,0,Others
MLBazaar/BTB,BTB,0,Others
openml-labs/gama,Gama,0,Others
automl/AutoFolio,AutoFolio,0,Others