Stages,Hyperopt,Facebook-Ax,AutoKeras,Featuretools,Bayes-Opt,Optuna,Snorkel,Tpot,AutoSklearn,Skopt,,Hyperopt,Facebook-Ax,AutoKeras,Featuretools,Bayes-Opt,Optuna,Snorkel,Tpot,AutoSklearn,Skopt
1 Data collection,6,0,3,5,0,2,7,0,2,0,,11.54,0,3.57,12.82,0,1.44,9.46,0,2.7,0
4 Feature engineering,3,0,7,26,0,0,2,4,4,0,,5.77,0,8.33,66.67,0,0,2.7,9.3,5.41,0
Others,1,1,3,3,1,3,3,2,4,1,,1.92,2.08,3.57,7.69,5.26,2.16,4.05,4.65,5.41,3.13
9 Model monitoring,2,2,0,1,1,16,0,2,3,1,,3.85,4.17,0,2.56,5.26,11.51,0,4.65,4.05,3.13
2 Data cleaning,2,10,3,4,2,25,16,5,4,4,,3.85,20.83,3.57,10.26,10.53,17.99,21.62,11.63,5.41,12.5
8 Model deployment,0,1,6,0,0,1,1,8,1,0,,0,2.08,7.14,0,0,0.72,1.35,18.6,1.35,0
6 Model training,0,2,34,0,0,3,12,10,19,1,,0,4.17,40.48,0,0,2.16,16.22,23.26,25.68,3.13
7 Model evaluation,0,0,21,0,0,1,12,8,33,1,,0,0,25,0,0,0.72,16.22,18.6,44.59,3.13
5 Hyperparameter Optimization,38,32,7,0,15,88,1,4,3,24,,73.08,66.67,8.33,0,78.95,63.31,1.35,9.3,4.05,75
3 Data labeling,0,0,0,0,0,0,20,0,1,0,,0,0,0,0,0,0,27.03,0,1.35,0
,52,48,84,39,19,139,74,43,74,32,,100,100,100,100,100,100,100,100,100,100